Должность,Ссылка,Компания,Зарплата,Опыт,Удаленная работа,PYTHON,SQL,DOCKER,GO,LINUX,GIT,AWS,KUBERNETES,DJANGO,FLASK,MATH,DATA_SCIENCE_LIB
Data Scientist,https://hh.ru/vacancy/118894383,RDP.RU,не указана,От 3 до 6 лет,Да,1,1,1,0,0,1,0,1,0,0,0,1
Маркетинговый аналитик,https://hh.ru/vacancy/119004423,Youstars,от 150000 RUR,От 1 года до 3 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,1
Специалист по кадровому делопроизводству,https://hh.ru/vacancy/118646409,JSA Group,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Лид системных аналитиков/Lead System Analyst,https://hh.ru/vacancy/117164126,ВанТуВорк,не указана,От 3 до 6 лет,Да,0,1,1,0,0,0,0,1,0,0,0,0
Data Analyst (проект Честный знак),https://hh.ru/vacancy/119011076,ARK,не указана,От 3 до 6 лет,Да,1,1,0,0,0,0,0,0,0,0,0,0
Менеджер по анализу больших данных (Big Data),https://hh.ru/vacancy/119123973,T2,не указана,От 1 года до 3 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
"Стажёр Quant Developer (Python, AI) в международный хедж-фонд",https://hh.ru/vacancy/118325627,Ahead.Market,не указана,От 1 года до 3 лет,Да,1,0,0,0,0,0,0,0,0,0,0,1
Технический ассистент,https://hh.ru/vacancy/118988956,Карпов Курсес,до 40000 RUR,От 1 года до 3 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0
Руководитель группы продаж,https://hh.ru/vacancy/118156947,Карпов Курсес,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Исследователь-экспериментатор (Лаборатория нейронаук и поведения человека),https://hh.ru/vacancy/118455475,СБЕР,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Аналитик E-com,https://hh.ru/vacancy/119152738,Комус,не указана,От 1 года до 3 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Лид команды персонализации CRM,https://hh.ru/vacancy/118621308,Альфа-Банк,не указана,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
SEO-специалист,https://hh.ru/vacancy/118871749,Отус,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Менеджер по подбору / Рекрутер,https://hh.ru/vacancy/118256370,X5 Digital,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Математик-разработчик (Data Scientist) в группу моделирования и оптимизации складских процессов,https://hh.ru/vacancy/118503905,Ozon,не указана,От 1 года до 3 лет,Нет,1,1,0,0,0,0,0,0,0,0,1,0
Marketing Data Analyst / Product Analyst,https://hh.ru/vacancy/118664987,Издаем Игры,не указана,От 1 года до 3 лет,Да,1,1,0,0,0,1,0,0,0,0,0,0
Стажер департамента по работе с индустриальными данными (Media Research),https://hh.ru/vacancy/119165587,"Группа компаний «Group4Media», Управляющая компания",не указана,Нет опыта,Нет,0,0,0,0,0,0,0,0,0,0,0,0
"Старший Java разработчик, Оценка качества поиска",https://hh.ru/vacancy/118660499,Ozon,не указана,От 3 до 6 лет,Да,1,1,0,0,0,0,0,1,0,0,0,0
"NLP Engineer / NLP Data Scientist (LLM, GigaChat)",https://hh.ru/vacancy/119021791,СБЕР,не указана,От 1 года до 3 лет,Нет,1,1,1,0,0,1,0,1,0,0,0,1
"Data Scientist, Anti-Fraud, Ozon Bank",https://hh.ru/vacancy/117537901,Ozon,не указана,От 1 года до 3 лет,Да,1,1,0,0,0,0,0,0,0,0,0,0
Scrum мастер,https://hh.ru/vacancy/118908024,АстраЗенека,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
ML инженер (классический ML),https://hh.ru/vacancy/118522684,Газпромбанк,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Руководитель разработки / Head of Development,https://hh.ru/vacancy/118178175,Марс,не указана,Более 6 лет,Нет,1,1,1,1,0,0,1,1,1,1,0,1
Менеджер оценки рисков контрагентов / Риск-менеджер / Банк,https://hh.ru/vacancy/119165998,IDF Eurasia,не указана,От 1 года до 3 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Стажер-аналитик по ценообразованию,https://hh.ru/vacancy/118614514,Б1 (B1),не указана,Нет опыта,Нет,1,1,0,0,0,0,0,0,0,0,1,0
Senior Data Scientist (RL),https://hh.ru/vacancy/119038333,Ecom.tech,не указана,От 3 до 6 лет,Да,1,1,1,0,0,1,0,0,0,0,0,1
Data analyst ( Мiddle/Middle+ ),https://hh.ru/vacancy/119125140,РСХБ-Интех,не указана,От 3 до 6 лет,Нет,0,1,0,0,0,0,0,1,0,0,0,0
Стажер Аналитик (Центр методологии и популяризации Data science),https://hh.ru/vacancy/118988572,СБЕР,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
"Аналитик данных (рекомендательные системы, персонализация)",https://hh.ru/vacancy/118463629,Ozon,не указана,От 1 года до 3 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Chief Technical Officer (CTO),https://hh.ru/vacancy/118783133,IDF Lab,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Системный аналитик АСУ ОГР,https://hh.ru/vacancy/118909598,JSA Group,не указана,От 3 до 6 лет,Да,0,1,0,0,0,0,0,0,0,0,0,0
Аналитик DWH,https://hh.ru/vacancy/118494303,LIAN,от 260000 до 350000 RUR,От 3 до 6 лет,Да,0,1,0,0,0,0,0,0,0,0,0,0
"Стажер ML-разработчик (Тонкая настройка, Генеративные модели)",https://hh.ru/vacancy/118563495,Группа компаний Астра,не указана,От 1 года до 3 лет,Нет,1,1,1,0,1,1,1,0,0,1,0,1
Бизнес-аналитик (AI-агенты),https://hh.ru/vacancy/118992061,СБЕР,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
"Старший Data Scientist, Отбор кандидатов",https://hh.ru/vacancy/119040840,Ozon,не указана,От 3 до 6 лет,Да,1,0,0,1,0,0,0,0,0,0,0,1
AI Engineer,https://hh.ru/vacancy/117837394,Интернет-энциклопедия РУВИКИ,не указана,От 3 до 6 лет,Нет,1,0,1,0,1,1,0,0,0,0,0,1
Методист образовательных программ,https://hh.ru/vacancy/118664728,Карпов Курсес,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
DevRel (Газпромбанк.Тех),https://hh.ru/vacancy/119041521,Газпромбанк,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Младший инженер технической поддержки,https://hh.ru/vacancy/119138320,НТехЛаб,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Менеджер по продажам B2C,https://hh.ru/vacancy/118003372,Карпов Курсес,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Системный администратор,https://hh.ru/vacancy/119066051,Петрович-Тех,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Бизнес-аналитик (аналитическое сопровождение взыскания),https://hh.ru/vacancy/119175244,Газпромбанк,не указана,От 1 года до 3 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
"Data Scientist/Разработчик машинного обучения (ML, NLP, LLM)",https://hh.ru/vacancy/117371174,B2B-Center,не указана,От 1 года до 3 лет,Да,1,0,0,0,0,0,0,0,0,0,0,1
Руководитель по развитию кросс-продаж с применением AI-технологий,https://hh.ru/vacancy/119129303,СБЕР,не указана,От 3 до 6 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Менеджер по продажам (B2B),https://hh.ru/vacancy/118332622,CODex,от 125000 RUR,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
"Product Owner / Product Manager, iOS (HealthTech)",https://hh.ru/vacancy/118917251,Дартс рекрутинг сервисез,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Аналитик ML-моделей,https://hh.ru/vacancy/117159140,Т1,не указана,От 1 года до 3 лет,Да,1,1,0,0,0,0,0,0,0,0,0,0
Системный аналитик.,https://hh.ru/vacancy/119069724,Т1,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Data Scientist / Разработчик Машинного Обучения / Computer Vision,https://hh.ru/vacancy/118575237,Buildateam,от 4000 до 6000 USD,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,1
"Аналитик данных, Реклама",https://hh.ru/vacancy/114920771,Ozon,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Data Scientist в команду персонализации,https://hh.ru/vacancy/112316977,Газпромбанк,не указана,От 1 года до 3 лет,Нет,1,1,0,0,1,0,0,0,0,0,0,1
Data Scientist,https://hh.ru/vacancy/117483603,YADRO,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,1,1
"Senior Data Scientist (блок ""В2С"")",https://hh.ru/vacancy/118028831,СБЕР,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,1
DevOps-инженер,https://hh.ru/vacancy/118973094,"Hi, Rockits!",от 350000 RUR,От 3 до 6 лет,Да,1,0,1,0,1,0,1,0,0,0,0,0
"Middle Data Scientist в команду ""Разработка AI-решений БСР""",https://hh.ru/vacancy/118264773,СБЕР,не указана,От 1 года до 3 лет,Да,1,0,0,0,0,0,0,0,0,1,0,1
Аналитик данных / Data Analyst,https://hh.ru/vacancy/118645219,РЕВТЕХ,от 115000 до 276000 RUR,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,1
Senior QA / Auto,https://hh.ru/vacancy/119130190,АБК,не указана,Более 6 лет,Нет,0,1,1,0,0,0,0,0,0,0,0,0
New Business Director (digital),https://hh.ru/vacancy/119062144,E-PROMO,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Project Manager,https://hh.ru/vacancy/117804171,Криптонит,не указана,От 3 до 6 лет,Нет,1,0,1,0,0,0,0,1,0,0,0,0
Руководитель направления CRM-маркетинга,https://hh.ru/vacancy/118973184,Отус,от 170000 RUR,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Исследователь/Research Scientist,https://hh.ru/vacancy/117408891,Криптонит,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
ML-cпециалист (Junior),https://hh.ru/vacancy/118031276,СОГАЗ,не указана,От 1 года до 3 лет,Нет,1,1,1,0,0,0,0,0,0,0,0,1
Интернет-маркетолог,https://hh.ru/vacancy/118332555,CODex,от 75000 RUR,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
"Старший аналитик-разработчик, Аналитика поиска",https://hh.ru/vacancy/98275757,Ozon,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Chess Master / Math Modeller,https://hh.ru/vacancy/118516642,Hunt For You,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,1
Data Science,https://hh.ru/vacancy/118348520,СБЕР,не указана,От 3 до 6 лет,Нет,1,1,1,0,0,0,0,0,0,0,0,1
Старший менеджер продукта (Поиск и ранжирование),https://hh.ru/vacancy/118478956,Lamoda Tech,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Аналитик Junior/Middle,https://hh.ru/vacancy/115383081,metaLead,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,1,0
Data Scientist в команду рисков,https://hh.ru/vacancy/118914978,Газпромбанк,не указана,От 3 до 6 лет,Да,1,1,0,0,1,0,0,0,0,0,0,1
MLOps engineer,https://hh.ru/vacancy/119166582,LIAN,от 390000 до 480000 RUR,Более 6 лет,Да,1,1,1,0,0,0,0,1,0,0,0,0
Аналитик-исследователь AI-технологий (Центр методологии и популяризации Data science),https://hh.ru/vacancy/118988621,СБЕР,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
"Менеджер по обработке данных (SPSS, R, Python)",https://hh.ru/vacancy/112709038,ORO,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,https://hh.ru/vacancy/118610881,АБСОЛЮТ БАНК,не указана,От 3 до 6 лет,Нет,1,1,1,0,0,0,0,1,0,0,0,0
Продуктовый аналитик в Путешествия,https://hh.ru/vacancy/118599563,Яндекс,не указана,От 3 до 6 лет,Да,1,1,0,0,0,0,0,0,0,0,0,1
Исследователь-психометрист (Лаборатория нейронаук и поведения человека),https://hh.ru/vacancy/118550645,СБЕР,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
ИТ Бизнес-партнер / IT Business Partner (проекты по локализации),https://hh.ru/vacancy/106785080,АстраЗенека,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Lead Data Scientist [Платформа жизненных сценариев],https://hh.ru/vacancy/119043068,МТС,не указана,Более 6 лет,Нет,1,0,0,0,0,1,0,0,0,0,0,1
Data Scientist (NLP),https://hh.ru/vacancy/118242205,"Алабуга, ОЭЗ ППТ",от 277500 RUR,Нет опыта,Нет,1,0,0,0,0,0,0,0,0,0,0,1
Media Data Analyst (media research),https://hh.ru/vacancy/118153038,"Группа компаний «Group4Media», Управляющая компания",не указана,Нет опыта,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Менеджер по работе с корпоративными клиентами,https://hh.ru/vacancy/118908848,Карпов Курсес,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Специалист по оптимизации бизнес-процессов с фокусом на внедрение ИИ / Бизнес-аналитик,https://hh.ru/vacancy/118657302,Selecty,не указана,От 3 до 6 лет,Да,0,1,0,0,0,0,0,0,0,0,0,0
"Аналитик в AI сервис поиска (Search, LLM, Embeddings, Data Science, SaaS)",https://hh.ru/vacancy/118096446,Any,от 150000 до 200000 RUR,От 1 года до 3 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
CX Researcher,https://hh.ru/vacancy/119180215,Лаборатория Касперского,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
DevOps инженер (мидл),https://hh.ru/vacancy/118917343,Пиклема,не указана,От 3 до 6 лет,Да,1,1,1,0,1,0,1,1,1,0,0,0
Quantitative Analyst,https://hh.ru/vacancy/118109610,Insolvent Capital,не указана,От 1 года до 3 лет,Да,1,0,0,0,0,0,0,0,0,0,0,1
Senior Data Analyst,https://hh.ru/vacancy/111417147,Х5 Group,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,1,0,0,0,1
DevOps Engineer/MLOps (Senior),https://hh.ru/vacancy/119162898,Selecty,от 470000 до 525000 RUR,От 3 до 6 лет,Да,1,0,1,0,0,0,0,1,0,0,0,0
Разработчик Python ML-команды,https://hh.ru/vacancy/118624795,Норникель,не указана,От 1 года до 3 лет,Нет,1,1,0,0,0,1,0,0,0,0,1,1
Системный аналитик (с кредитным профилем),https://hh.ru/vacancy/118069794,LIAN,до 345000 RUR,От 3 до 6 лет,Да,0,1,0,0,0,0,0,0,0,0,0,0
Специалист технической поддержки / Technical Support Specialist,https://hh.ru/vacancy/118046448,Мэтифан,от 80000 до 180000 RUR,От 1 года до 3 лет,Нет,1,1,0,0,1,0,0,0,0,0,0,0
Системный аналитик,https://hh.ru/vacancy/118821253,Кронослаб,не указана,Более 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Инженер NLP,https://hh.ru/vacancy/118442524,LIAN,до 4000 USD,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,1
Strategy AI Consultant,https://hh.ru/vacancy/118867076,Axenix (ранее Accenture),не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Финансовый аналитик,https://hh.ru/vacancy/114564803,Банк ВТБ (ПАО),не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,1
ML Lead (NLP),https://hh.ru/vacancy/118053179,HR Prime,от 5000 до 10000 EUR,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Android developer,https://hh.ru/vacancy/118690033,Data-Driven Lab,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Senior MLSecOps Engineer,https://hh.ru/vacancy/114988743,Т-Банк,не указана,Более 6 лет,Нет,0,0,1,0,0,0,0,1,0,0,0,0
Data Scientist / Machine Learning Engineer / Аналитик данных,https://hh.ru/vacancy/112611475,Транснефть-Технологии,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,1
"Системный аналитик (Middle), банк",https://hh.ru/vacancy/119131360,SkillStaff,не указана,От 3 до 6 лет,Да,0,1,0,0,0,0,0,0,0,0,0,0
Data engineer (офис в Ереване),https://hh.ru/vacancy/118315001,WIT recruitment,от 5400 до 6600 USD,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,1
Data scientist (Senior),https://hh.ru/vacancy/119021975,СБЕР,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,1,0,0,0,0,0,1
Project Manager,https://hh.ru/vacancy/117652304,Lofty.,не указана,От 1 года до 3 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Аналитик данных,https://hh.ru/vacancy/118335913,ТЕВА,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
"Аналитик RnD (AI, Искусственный интеллект)",https://hh.ru/vacancy/118497593,Ингосстрах,не указана,От 3 до 6 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
BI Analyst,https://hh.ru/vacancy/110438689,ANCOR,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,1,0,0,0,0,0
Главный аналитик направления (предиктивный анализ в производстве),https://hh.ru/vacancy/117714452,Промышленные инновации,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Quantitative Developer,https://hh.ru/vacancy/118109579,Insolvent Capital,не указана,От 3 до 6 лет,Да,1,1,0,0,0,0,1,0,0,0,0,1
Менеджер по управлению качеством в клинических исследованиях,https://hh.ru/vacancy/118598466,ANCOR,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Software Developer Intern / Junior,https://hh.ru/vacancy/118070545,Aramco Innovations,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,1
Руководитель направления / Ведущий финансовый аналитик (моделирование и юнит-экономика),https://hh.ru/vacancy/118915686,Selecty,не указана,От 3 до 6 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Senior Data Engineer,https://hh.ru/vacancy/117164675,Оператор Газпром ИД,не указана,Более 6 лет,Да,1,1,0,0,0,0,0,0,0,0,0,0
Аналитик -данных (Управление качеством клиентского опыта),https://hh.ru/vacancy/115865168,Т1,не указана,От 3 до 6 лет,Да,1,1,0,0,0,0,0,0,0,0,0,0
Head of Data Science,https://hh.ru/vacancy/118252260,Russ,не указана,Более 6 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0
Руководитель группы анализа данных,https://hh.ru/vacancy/117746296,Rambler&Co,не указана,От 1 года до 3 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Data Scientist / ML-инженер,https://hh.ru/vacancy/118831649,Медиалогия,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,1
BI аналитик-разработчик / BI developer,https://hh.ru/vacancy/117842084,АстраЗенека,не указана,От 1 года до 3 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
DevOps-инженер,https://hh.ru/vacancy/118243891,LIAN,от 300000 до 400000 RUR,От 3 до 6 лет,Нет,1,1,1,0,1,1,0,0,0,0,0,0
Аналитик данных,https://hh.ru/vacancy/118291083,СБЕР,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,1
"Аналитик (разработка ИИ-агентов, junior+/middle-)",https://hh.ru/vacancy/117944366,ГБУ г. Москвы НИИ организации здравоохранения и медицинского менеджмента ДЗМ г. Москвы,от 80000 до 110000 RUR,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,1
Аналитик по развитию бизнес-приложений,https://hh.ru/vacancy/117509465,АстраЗенека,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
ИТ-лидер кластера / DWH Team Lead,https://hh.ru/vacancy/118786005,Т1,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Data Scientist (риски),https://hh.ru/vacancy/118509662,Ингосстрах,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Data Scientist,https://hh.ru/vacancy/117232071,Data-Driven Lab,не указана,От 1 года до 3 лет,Да,1,1,0,0,0,0,0,0,0,0,0,1
Архитектор,https://hh.ru/vacancy/118364108,Т1,не указана,От 3 до 6 лет,Да,0,1,0,0,0,0,0,1,0,0,0,0
Data Scientist (Middle),https://hh.ru/vacancy/118811947,Умскул,не указана,От 1 года до 3 лет,Да,1,1,1,0,0,0,0,0,0,0,0,1
Data scientist CV (middle),https://hh.ru/vacancy/115268231,"РУСАЛ, Центр подбора персонала",не указана,От 3 до 6 лет,Нет,0,0,1,0,1,1,0,0,0,0,0,0
Старший юрист,https://hh.ru/vacancy/118349029,Отус,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Системный аналитик DWH / Системный аналитик ХД,https://hh.ru/vacancy/117842013,АстраЗенека,не указана,От 1 года до 3 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Data Analyst,https://hh.ru/vacancy/118072871,СБЕР,не указана,От 1 года до 3 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Менеджер по информационным технологиям (проекты HR),https://hh.ru/vacancy/118499333,АстраЗенека,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Data Governance Manager / Менеджер по управлению данными,https://hh.ru/vacancy/107775518,АстраЗенека,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,1,0,0,0,0,0
Руководитель анализа данных QS,https://hh.ru/vacancy/118188525,"Тануки, японский ресторан",не указана,От 3 до 6 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Продуктовый / дата аналитик в направление Транспорт,https://hh.ru/vacancy/117590739,X5 Tech,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,1,0,0,0,0,0,0
Data Scientist,https://hh.ru/vacancy/117085700,Топассистент,от 350000 RUR,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,1
Аналитик данных / Data Engineer,https://hh.ru/vacancy/118512349,ГАУ Города Москвы Центр цифровизации образования,не указана,От 3 до 6 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
NLP Engineer (Data Science),https://hh.ru/vacancy/118720383,Cloud.ru,не указана,От 1 года до 3 лет,Нет,0,0,1,0,0,0,0,1,0,0,0,1
Руководитель лаборатории искусственного интеллекта,https://hh.ru/vacancy/118554130,"СИБУР, Группа компаний",не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
"Data Scientist, Факторы ранжирования",https://hh.ru/vacancy/112852766,Ozon,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,1
"Аналитик по маркетинговому моделированию (MMM) (взаимодействие с тайзоной PST, UTC-8)",https://hh.ru/vacancy/118057026,HR-Stalker,от 500000 до 650000 RUR,Более 6 лет,Да,1,1,0,0,0,0,0,0,0,0,0,0
Менеджер рекламного продукта в Карты,https://hh.ru/vacancy/118338568,Яндекс,не указана,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
TL Data Scientist,https://hh.ru/vacancy/117519659,Платформа ОФД,до 450000 RUR,Более 6 лет,Нет,1,1,1,0,0,0,0,1,0,0,0,1
Devops-инженер в команду Data Science,https://hh.ru/vacancy/118296880,"Ренессанс cтрахование, Группа",не указана,От 3 до 6 лет,Нет,0,0,1,0,0,0,1,1,0,0,0,0
Head of Marketing (B2B Software Platform for the Internet of Things),https://hh.ru/vacancy/118452690,Tibbo Systems,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Главный аналитик,https://hh.ru/vacancy/112617103,Промышленные инновации,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,https://hh.ru/vacancy/118500855,PARI,не указана,От 3 до 6 лет,Да,1,1,1,0,0,1,0,0,0,0,0,0
Системный аналитик,https://hh.ru/vacancy/117632630,"СИБУР, Группа компаний",не указана,От 3 до 6 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
"Стажер / Специалист, Retail & Ecom",https://hh.ru/vacancy/118591008,Б1 (B1),не указана,Нет опыта,Нет,1,1,0,0,0,0,0,0,0,0,1,0
Инженер технической поддержки,https://hh.ru/vacancy/118874121,Ростелеком,не указана,Нет опыта,Нет,1,0,1,0,1,0,0,0,0,0,0,0
Postdoctoral Researcher / (Старший-) Научный сотрудник,https://hh.ru/vacancy/117487640,The Skolkovo Institute of Science and Technology,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0
Ассистент кадрового администрирования,https://hh.ru/vacancy/117490901,IDF Eurasia,не указана,Нет опыта,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Аналитик 1С (бухгалтерия + финансы),https://hh.ru/vacancy/118543512,LIAN,до 320000 RUR,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Клиентский аналитик,https://hh.ru/vacancy/116339130,T2,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
"Руководитель команды продуктовой аналитики, Мобильная платформа",https://hh.ru/vacancy/118077591,X5 Tech,не указана,Более 6 лет,Нет,1,1,0,0,0,1,0,0,0,0,1,0
Team Lead Data Scientist,https://hh.ru/vacancy/118155257,Rambler&Co,не указана,Более 6 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
BI-аналитик данных в Спорт Тех,https://hh.ru/vacancy/118329916,ВПА Технологии,не указана,От 1 года до 3 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Product manager (направление МФО),https://hh.ru/vacancy/118889321,IDF Eurasia,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Менеджер проектов по работе с персональными данными (DPO),https://hh.ru/vacancy/107979736,Росгосстрах,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Архитектор корпоративный (Enterprise architect),https://hh.ru/vacancy/118345183,LIAN,от 300000 до 380000 RUR,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Системный аналитик (Брокерский бизнес),https://hh.ru/vacancy/118488220,СБЕР,не указана,От 3 до 6 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Аналитик Data Science HR,https://hh.ru/vacancy/117031485,Газпромбанк,не указана,От 1 года до 3 лет,Да,1,1,0,0,0,1,0,0,0,0,0,1
Менеджер по прогнозированию и моделированию рынка,https://hh.ru/vacancy/116096752,ТЕВА,не указана,От 1 года до 3 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
MLSecOps engineer,https://hh.ru/vacancy/117255438,ИК СИБИНТЕК,не указана,От 3 до 6 лет,Нет,0,0,1,0,0,0,0,1,0,0,0,0
ML Team Lead (Ассистент Салют),https://hh.ru/vacancy/118769234,СБЕР,до 550000 RUR,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
